brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price,curved,g_sync_compat,sync
AOC,C24G1,24.0,1920 x 1080,144.0,1.0,VA,16:9,,True,False,Free Sync
Panasonic,EJMDA32UK,32.0,1920 x 1080,60.0,6.0,IPS,16:9,8999.95,False,False,
MSI,Optix G241,23.8,1920 x 1080,144.0,1.0,IPS,16:9,189.99,False,False,Free Sync
Acer,SB220Q bi,21.5,1920 x 1080,75.0,4.0,IPS,16:9,93.99,False,False,Free Sync
Asus,TUF Gaming VG279QM,27.0,1920 x 1080,280.0,1.0,IPS,16:9,384.99,False,True,Free Sync
Asus,ROG Swift PG65UQ,64.5,3840 x 2160,144.0,4.0,VA,16:9,4702.28,False,False,G sync Ultimate
Asus,TUF Gaming VG27AQ,27.0,2560 x 1440,165.0,1.0,IPS,16:9,419.99,False,True,Free Sync
Samsung,Odyssey G9,49.0,5120 x 1440,240.0,1.0,VA,32:9,2998.76,True,True,Free Sync Premium Pro
MSI,Optix G24C4,23.6,1920 x 1080,144.0,1.0,VA,16:9,,True,False,Free Sync
Sceptre,C248B-144RN,24.0,1920 x 1080,144.0,3.0,VA,16:9,275.89,True,False,Free Sync
LG,27GL850-B,27.0,2560 x 1440,144.0,1.0,IPS,16:9,446.99,False,True,Free Sync
Asus,TUF Gaming VG24VQ,23.6,1920 x 1080,144.0,,VA,16:9,248.0,True,False,Free Sync
Gigabyte,G27QC,27.0,2560 x 1440,165.0,,VA,16:9,284.98,True,True,Free Sync Premium
Eizo,CG318-BK,31.1,4096 x 2160,,9.0,IPS,256:135,,False,False,
LG,27GN950-B,27.0,3840 x 2160,144.0,1.0,IPS,16:9,809.94,False,True,Free Sync Premium Pro
Asus,TUF GAMING VG259QM,24.5,1920 x 1080,280.0,1.0,IPS,16:9,319.0,False,True,Free Sync
MSI,Optix MAG241C,23.6,1920 x 1080,144.0,1.0,VA,16:9,199.99,True,False,Free Sync
LG,24MK400H-B,24.0,1920 x 1080,75.0,1.0,TN,16:9,109.99,False,False,Free Sync
Asus,VG248QG,24.0,1920 x 1080,165.0,1.0,TN,16:9,203.91,False,True,Free Sync
LG,27GL83A-B,27.0,2560 x 1440,144.0,1.0,IPS,16:9,379.99,False,True,Free Sync
LG,22MK430H-B,21.5,1920 x 1080,75.0,5.0,IPS,16:9,84.99,False,False,Free Sync
Acer,XF250Q Cbmiiprx,24.5,1920 x 1080,240.0,1.0,TN,16:9,279.94,False,True,Free Sync
Dell,S2719DGF,27.0,2560 x 1440,155.0,1.0,TN,16:9,359.0,False,False,Free Sync
Samsung,Odyssey G7,27.0,2560 x 1440,240.0,1.0,VA,16:9,549.99,True,True,Free Sync Premium Pro
Asus,ROG Swift PG259QN,24.5,1920 x 1080,360.0,1.0,IPS,16:9,1239.99,False,False,G sync
Asus,VG278QR,27.0,1920 x 1080,165.0,0.5,TN,16:9,249.0,False,True,Free Sync
ViewSonic,XG2405,23.8,1920 x 1080,144.0,1.0,IPS,16:9,179.99,False,False,Free Sync
Sceptre,E205W-16003R,19.5,1600 x 900,75.0,5.0,,16:9,76.97,False,False,
Asus,VP228HE,21.5,1920 x 1080,60.0,1.0,TN,16:9,89.99,False,False,
Asus,TUF GAMING VG249Q,23.8,1920 x 1080,144.0,,IPS,16:9,239.0,False,False,Free Sync
ViewSonic,VX2758-2KP-MHD,27.0,2560 x 1440,144.0,3.0,IPS,16:9,299.99,False,False,Free Sync
BenQ,ZOWIE XL2411P,24.0,1920 x 1080,144.0,1.0,TN,16:9,191.99,False,False,
Samsung,Odyssey G7 LC32G75TQSNXZA,31.5,2560 x 1440,240.0,1.0,VA,16:9,629.99,True,True,Free Sync Premium Pro
Gigabyte,G27Q,27.0,2560 x 1440,144.0,,IPS,16:9,,False,False,Free Sync Premium
Dell,S2721DGF,27.0,2560 x 1440,165.0,1.0,IPS,16:9,499.99,False,True,Free Sync Premium Pro
AOC,24G2,23.8,1920 x 1080,144.0,,IPS,16:9,237.99,False,False,Free Sync
VIOTEK,GFV22CB,22.0,1920 x 1080,144.0,5.0,VA,16:9,129.99,False,True,Free Sync
VIOTEK,GFV24C,24.0,1920 x 1080,144.0,,VA,16:9,,False,False,Free Sync
Acer,VG270U Pbmiipx,27.0,2560 x 1440,144.0,1.0,IPS,16:9,390.0,False,False,Free Sync
Asus,VG278Q,27.0,1920 x 1080,144.0,1.0,TN,16:9,244.98,False,True,Free Sync
Alienware,AW2521HF,24.5,1920 x 1080,240.0,1.0,IPS,16:9,446.95,False,True,Free Sync Premium Pro
Dell,UP3218K,31.5,7680 x 4320,60.0,6.0,IPS,16:9,3999.99,False,False,
Asus,VA24EHE,23.8,1920 x 1080,75.0,,IPS,16:9,109.0,False,False,Free Sync
Samsung,C24RG50,23.5,1920 x 1080,144.0,4.0,VA,16:9,,False,False,Free Sync
AOC,C27G1,27.0,1920 x 1080,144.0,1.0,VA,16:9,,True,False,Free Sync
LG,27GL650F-B,27.0,1920 x 1080,144.0,1.0,IPS,16:9,246.99,False,True,Free Sync
Acer,K202HQL,19.5,1600 x 900,60.0,5.0,TN,16:9,69.98,False,False,
Asus,ROG Strix XG27UQ,27.0,3840 x 2160,144.0,,IPS,16:9,799.99,False,False,Free Sync
LG,34GK950F-B,34.0,3440 x 1440,144.0,1.0,IPS,21:9,769.0,True,False,Free Sync
LG,24GL600F-B,23.6,1920 x 1080,144.0,1.0,TN,16:9,179.99,False,False,Free Sync
LG,27GN750-B,27.0,1920 x 1080,240.0,1.0,IPS,16:9,396.99,False,True,Free Sync
Samsung,C27JG56,27.0,2560 x 1440,144.0,4.0,VA,16:9,309.94,True,False,Free Sync
Acer,VG270 Pbiip,27.0,1920 x 1080,144.0,,IPS,16:9,204.98,False,False,Free Sync
