brand,model,core_count,core_clock,boost_clock,tdp,integrated_graphics,smt,price
AMD,Ryzen 5 3600,6,3.6,4.2,65,None,Yes,299.99
AMD,Ryzen 7 3700X,8,3.6,4.4,65,None,Yes,279.99
AMD,Ryzen 5 5600X,6,3.7,4.6,65,None,Yes,
AMD,Ryzen 5 2600,6,3.4,3.9,65,None,Yes,
AMD,Ryzen 5 3600X,6,3.8,4.4,95,None,Yes,277.44
AMD,Ryzen 3 3100,4,3.6,3.9,65,None,Yes,178.39
AMD,Ryzen 9 3900X,12,3.8,4.6,105,None,Yes,479.99
Intel,Core i7-9700K,8,3.6,4.9,95,Intel UHD Graphics 630,No,259.99
AMD,Ryzen 9 5900X,12,3.7,4.8,105,None,Yes,
AMD,Ryzen 7 2700X,8,3.7,4.3,105,None,Yes,229.95
AMD,Ryzen 7 5800X,8,3.8,4.7,105,None,Yes,
Intel,Core i7-10700K,8,3.8,5.1,125,Intel UHD Graphics 630,Yes,359.99
AMD,Ryzen 3 3200G,4,3.6,4,65,Radeon Vega 8,No,99.99
Intel,Core i9-10900K,10,3.7,5.3,125,Intel UHD Graphics 630,Yes,527.98
AMD,Ryzen 5 3400G,4,3.7,4.2,65,Radeon Vega 11,Yes,184.99
Intel,Core i9-9900K,8,3.6,5,95,Intel UHD Graphics 630,Yes,399.99
Intel,Core i5-9600K,6,3.7,4.6,95,Intel UHD Graphics 630,No,184.99
AMD,Ryzen 9 5950X,16,3.4,4.9,105,None,Yes,
AMD,Ryzen 5 2600X,6,3.6,4.2,95,None,Yes,179.89
AMD,Ryzen 5 3600XT,6,3.8,4.5,95,None,Yes,
Intel,Core i5-9400F,6,2.9,4.1,65,None,No,139.99
AMD,Ryzen 7 3800X,8,3.9,4.5,105,None,Yes,339.99
Intel,Core i5-10600K,6,4.1,4.8,125,Intel UHD Graphics 630,Yes,267.66
AMD,Ryzen 9 3950X,16,3.5,4.7,105,None,Yes,672.98
Intel,Core i3-9100F,4,3.6,4.2,65,None,No,119.99
Intel,Core i3-10100,4,3.6,4.3,65,Intel UHD Graphics 630,Yes,99.99
Intel,Core i5-10400,6,2.9,4.3,65,Intel UHD Graphics 630,Yes,179.99
Intel,Core i5-10400F,6,2.9,4.3,65,None,Yes,171.99
AMD,Threadripper 3990X,64,2.9,4.3,280,None,Yes,3849.99
AMD,Ryzen 9 3900XT,12,3.8,4.7,105,None,Yes,454.99
AMD,Ryzen 3 3300X,4,3.8,4.3,65,None,Yes,
Intel,Core i9-10850K,10,3.6,5.2,125,Intel UHD Graphics 630,Yes,434.99
AMD,Ryzen 7 3800XT,8,3.9,4.7,105,None,Yes,359.00
Intel,Core i7-8700K,6,3.7,4.7,95,Intel UHD Graphics 630,Yes,299.99
AMD,Athlon 3000G,2,3.5,,35,Radeon Vega 3,Yes,99.71
Intel,Core i7-10700,8,2.9,4.8,65,Intel UHD Graphics 630,Yes,324.99
Intel,Xeon E5-2690 V4,14,2.6,3.5,135,None,Yes,5650.00
Intel,Core i7-6700K,4,4,4.2,91,Intel HD Graphics 530,Yes,278.99
Intel,Core i7-7700K,4,4.2,4.5,91,Intel HD Graphics 630,Yes,
AMD,Ryzen 5 1600,6,3.2,3.6,65,None,Yes,195.00
Intel,Core i7-9700F,8,3,4.7,65,None,No,259.99
Intel,Core i5-9400,6,2.9,4.1,65,Intel UHD Graphics 630,No,167.92
Intel,Core i3-9100,4,3.6,4.2,65,Intel UHD Graphics 630,No,109.99
Intel,Core 2 Duo E7300,2,2.66,,65,None,No,11.95
Intel,Core i5-9600KF,6,3.7,4.6,95,None,No,199.99
Intel,Core i9-10900KF,10,3.7,5.3,125,None,Yes,529.99
Intel,Core i5-8400,6,2.8,4,65,Intel UHD Graphics 630,No,189.50
Intel,Core i3-10100F,4,3.6,4.3,65,None,Yes,
AMD,Threadripper 3970X,32,3.7,4.5,280,None,Yes,2133.21
Intel,Core i9-9900K,8,3.6,5,95,Intel UHD Graphics 630,Yes,319.99
AMD,Ryzen 3 2200G,4,3.5,3.7,65,Radeon Vega 8,No,
Intel,Core i9-9900KF,8,3.6,5,95,None,Yes,359.99
AMD,Threadripper 3960X,24,3.8,4.5,280,None,Yes,1396.22
Intel,Core i9-10980XE,18,3,4.8,165,None,Yes,969.99
Intel,Core i5-6600K,4,3.5,3.9,91,Intel HD Graphics 530,No,199.95
AMD,Ryzen 5 3500X,6,3.6,4.1,65,None,No,
Intel,Core i7-9700,8,3,4.7,65,Intel HD Graphics 630,No,254.99
Intel,Core i5-3470,4,3.2,,77,Intel HD Graphics 2500,No,85.00
Intel,Core i7-10700F,8,2.9,4.8,65,None,Yes,326.77
Intel,Core i7-8700,6,3.2,4.6,65,Intel UHD Graphics 630,Yes,309.99
Intel,Core i7-4790K,4,4,4.4,88,Intel HD Graphics 4600,Yes,
Intel,Core i7-10700KF,8,3.8,5.1,125,None,Yes,374.52
AMD,Ryzen 5 1600,6,3.2,3.6,65,None,Yes,219.98
AMD,Ryzen 7 2700,8,3.2,4.1,65,None,Yes,349.99
Intel,Core i5-8600K,6,3.6,4.3,95,Intel UHD Graphics 630,No,222.99
Intel,Core i7-7700,4,3.6,4.2,65,Intel HD Graphics 630,Yes,408.96
Intel,Core i3-2100,2,3.1,,65,Intel HD Graphics 2000,Yes,25.00
Intel,Core i5-7400,4,3,3.5,65,Intel HD Graphics 630,No,181.94
Intel,Core i5-10600KF,6,4.1,4.8,125,None,Yes,358.59
Intel,Core i3-8100,4,3.6,,65,Intel UHD Graphics 630,No,119.99
AMD,Ryzen 7 1700,8,3,3.7,65,None,Yes,348.03
AMD,Threadripper 2950X,16,3.5,4.4,180,None,Yes,589.99
