brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price
AOC,C24G1,24.0,1920 x 1080,144,1,VA,16:9,179.99
MSI,Optix G24C4,23.6,1920 x 1080,144,1,VA,16:9,298.98
Samsung,Odyssey G9,49.0,5120 x 1440,240,1,VA,32:9,1399.99
Sceptre,C248B-144RN,24.0,1920 x 1080,144,3,VA,16:9,158.97
MSI,Optix MAG241C,23.6,1920 x 1080,144,1,VA,16:9,199.99
Gigabyte,G27QC,27.0,2560 x 1440,165,1,VA,16:9,284.98
Samsung,Odyssey G7,27.0,2560 x 1440,240,1,VA,16:9,629.99
Samsung,Odyssey G7 LC32G75TQSNXZA,31.5,2560 x 1440,240,1,VA,16:9,729.99
AOC,C27G1,27.0,1920 x 1080,144,1,VA,16:9,
Asus,TUF Gaming VG24VQ,23.6,1920 x 1080,144,4,VA,16:9,164.98
LG,34GK950F-B,34.0,3440 x 1440,144,2,IPS,21:9,896.99
AOC,CQ27G1,27.0,2560 x 1440,144,1,VA,16:9,
Samsung,C27JG56,27.0,2560 x 1440,144,1,VA,16:9,299.99
Asus,ROG SWIFT PG35VQ,35.0,3440 x 1440,200,1,VA,21:9,3189.95
MSI,Optix G241VC,23.6,1920 x 1080,75,4,VA,16:9,149.99
MSI,Optix MAG321CQR,31.5,2560 x 1440,144,1,VA,16:9,399.99
LG,34GN850-B,34.0,3440 x 1440,160,5,IPS,21:9,999.99
Samsung,C49RG9,49.0,5120 x 1440,120,1,VA,32:9,1134.06
ViewSonic,VX2768-2KPC-MHD,27.0,2560 x 1440,144,1,VA,16:9,249.99
MSI,Optix G24C,23.6,1920 x 1080,144,1,VA,16:9,179.99
Sceptre,C305B-200UN,30.0,2560 x 1080,200,3,VA,21:9,278.99
MSI,Optix G27C4,27.0,1920 x 1080,165,1,VA,16:9,229.99
LG,UltraGear 38GN950-B,38.0,3840 x 1600,160,3,IPS,12:5,3015.00
MSI,Optix MAG272CRX,27.0,1920 x 1080,240,1,VA,16:9,334.99
Samsung,Odyssey G9 C49G97T,48.8,5120 x 1440,240,5,VA,32:9,1479.99
Pixio,PXC243,23.6,1920 x 1080,144,2,VA,16:9,159.99
MSI,Optix MPG341CQR,34.0,3440 x 1440,144,1,VA,21:9,799.99
Sceptre,C325B-185RD,31.5,1920 x 1080,185,1,VA,16:9,239.97
ViewSonic,VX2458-C-MHD,23.6,1920 x 1080,144,3,VA,16:9,168.49
MSI,Optix G27C2,27.0,1920 x 1080,144,4,VA,16:9,239.99
AOC,CU34G2X/BK,34.0,3440 x 1440,144,1,VA,21:9,588.00
Dell,S3220DGF,31.5,2560 x 1440,165,1,VA,16:9,449.99
Alienware,AW3420DW,34.1,3440 x 1440,120,1,IPS,21:9,1004.00
Asus,TUF GAMING VG32VQ,31.5,2560 x 1440,144,2,VA,16:9,432.99
AOC,CQ32G1,31.5,2560 x 1440,144,4,VA,16:9,
VIOTEK,GN24CW,24.0,1920 x 1080,144,4,VA,16:9,
VIOTEK,GNV34DBE,34.0,3440 x 1440,144,4,VA,21:9,399.99
MSI,Optix MAG272CQR,27.0,2560 x 1440,165,5,VA,16:9,384.99
MSI,Optix G32C4,31.5,1920 x 1080,165,1,VA,16:9,255.39
Samsung,CHG90,49.0,3840 x 1080,144,4,VA,32:9,829.99
Acer,PREDATOR X35 bmiphzx,35.0,3440 x 1440,200,5,VA,21:9,2428.98
Asus,TUF GAMING VG27WQ,27.0,2560 x 1440,165,5,VA,16:9,394.98
Asus,ROG STRIX XG32VQR,32.0,2560 x 1440,144,4,VA,16:9,669.42
AOC,CQ27G2U/BK,27.0,2560 x 1440,144,1,VA,16:9,
Samsung,LC27RG50FQNXZA,27.0,1920 x 1080,240,1,VA,16:9,395.13
Samsung,C24F390,24.0,1920 x 1080,60,4,VA,16:9,169.99
MSI,Optix MAG301CR,30.0,2560 x 1080,200,4,VA,21:9,339.99
Sceptre,C248W-1920RN,23.6,1920 x 1080,75,4,VA,16:9,129.99
MSI,Optix MAG272CR,27.0,1920 x 1080,165,4,VA,16:9,264.99
Asus,ROG Strix XG49VQ,49.0,3840 x 1080,144,4,VA,32:9,793.54
Acer,ED270R PBIIPX,27.0,1920 x 1080,165,3,VA,16:9,209.99
LG,34GL750-B,34.0,2560 x 1080,144,4,IPS,21:9,594.90
Samsung,CF398,27.0,1920 x 1080,60,4,VA,16:9,169.99
LG,34GP83A-B,34.0,3440 x 1440,144,1,IPS,21:9,849.99
Samsung,C27HG70,26.9,2560 x 1440,144,1,VA,16:9,394.98
Asus,TUF Gaming VG27VQ,27.0,1920 x 1080,165,1,VA,16:9,285.49
Samsung,LC27JG50QQNZA,27.0,2560 x 1440,144,1,VA,16:9,
LG,38GL950G-B,37.5,3840 x 1600,175,8,IPS,12:5,1674.27
Acer,Nitro XZ272U Pbmiiphx,27.0,2560 x 1440,165,4,VA,16:9,304.98
Acer,Predator X34,34.0,3440 x 1440,120,4,IPS,21:9,836.98
AOC,C27G2ZE/BK,27.0,1920 x 1080,240,5,VA,16:9,
Acer,Predator X34,34.0,3440 x 1440,100,4,IPS,21:9,1338.37
Samsung,C32JG56,32.0,2560 x 1440,144,1,VA,16:9,353.39
Sceptre,C275B-144RN,27.0,1920 x 1080,144,4,VA,16:9,259.99
Acer,ED273 Abidpx,27.0,1920 x 1080,144,4,VA,16:9,278.98
Samsung,UR59C,32.0,3840 x 2160,60,4,VA,16:9,423.03
MSI,OPTIX MAG271CQR,27.0,2560 x 1440,144,5,VA,16:9,
AOC,C27G2,27.0,1920 x 1080,165,5,VA,16:9,279.99
LG,38WN95C-W,38.0,3840 x 1600,144,1,IPS,12:5,1599.99
Samsung,C32HG70,31.5,2560 x 1440,144,1,VA,16:9,529.99
MSI,Optix AG32CQ,31.5,2560 x 1440,144,4,VA,16:9,499.99
MSI,Optix MAG341CQ,34.0,3440 x 1440,100,1,VA,21:9,446.99
Asus,ROG Strix XG32VQ,31.5,2560 x 1440,144,4,VA,16:9,579.99
Acer,ED323QUR Abidpx,31.5,2560 x 1440,144,3,VA,16:9,339.94
LG,34WN80C-B,34.0,3440 x 1440,60,3,IPS,21:9,549.99
Gigabyte,AORUS CV27Q-SA,27.0,2560 x 1440,165,4,VA,16:9,369.99
Acer,EI272UR Pbmiiipx,27.0,2560 x 1440,144,5,VA,16:9,349.00
AOC,C32G1,31.5,1920 x 1080,144,5,VA,16:9,
Sceptre,C355W-3440UN,35.0,3440 x 1440,100,1,VA,21:9,379.97
Samsung,LC32F391FWNXZA,32.0,1920 x 1080,60,4,VA,16:9,249.99
Asus,TUF Gaming VG35VQ,35.0,3440 x 1440,100,4,VA,21:9,579.00
Sceptre,C275W-1920RN,27.0,1920 x 1080,75,8,VA,16:9,168.97
Dell,UltraSharp U3419W,34.1,3440 x 1440,60,5,IPS,21:9,719.99
MSI,Optix MAG271C,27.0,1920 x 1080,144,1,VA,16:9,
Dell,Alienware AW3418HW,34.1,2560 x 1080,120,4,IPS,21:9,
Asus,ROG SWIFT PG349Q,34.0,3440 x 1440,120,1,IPS,21:9,
LG,34GK950G-B,34.0,3440 x 1440,120,5,IPS,21:9,1199.90
ViewSonic,VX2758-C-MH,27.0,1920 x 1080,144,1,VA,16:9,239.94
Asus,ROG Swift PG27VQ,27.0,2560 x 1440,165,4,TN,16:9,
Acer,Predator X34P,34.0,3440 x 1440,120,5,IPS,21:9,
VIOTEK,GN27DW,27.0,2560 x 1440,144,4,VA,16:9,
Acer,ED7,34.0,3440 x 1440,100,4,VA,21:9,499.99
VIOTEK,GN34CW,34.0,3440 x 1440,100,4,VA,21:9,
Acer,Z35 bmiphz,35.0,2560 x 1080,200,5,VA,21:9,699.99
Westinghouse,WC34DX9019,34.0,3440 x 1440,100,5,VA,21:9,337.98
Samsung,LC43J890DKNXZA,43.0,3840 x 1200,120,1,VA,16:5,749.99
Asus,Designo Curve MX38VC,38.0,3840 x 1600,75,1,IPS,12:5,979.00
Samsung,C27FG73,27.0,1920 x 1080,144,1,VA,16:9,458.80
MSI,Optix MPG27CQ,27.0,2560 x 1440,144,4,VA,16:9,
MSI,Optix MAG27C,27.0,1920 x 1080,144,4,VA,16:9,
BenQ,EX3203R,31.5,2560 x 1440,144,5,VA,16:9,599.99
Deco,Gear VIEW101,35.0,2560 x 1080,144,4,VA,21:9,319.95
LG,34UC98,34.0,3440 x 1440,60,8,IPS,21:9,2598.90
Asus,ROG STRIX XG27VQ,27.0,1920 x 1080,144,1,VA,16:9,
iiyama,G-Master GB3466WQSU-B1,34.0,3440 x 1440,144,1,VA,21:9,
VIOTEK,GNV34CB,34.0,2560 x 1080,100,5,VA,21:9,299.99
MSI,Optix MAG322CQRV,31.5,2560 x 1440,144,5,VA,16:9,
Acer,XZ242Q Sbmiiphx,23.6,1920 x 1080,165,1,VA,16:9,199.99
Acer,XZ321QU bmijpphzx,31.5,2560 x 1440,144,4,VA,16:9,650.00
LG,34UC79G-B,34.0,2560 x 1080,144,4,IPS,21:9,1617.23
Asus,ProArt PA34VC,34.0,3440 x 1440,100,4,IPS,21:9,953.98
MSI,Optix MAG24C,23.6,1920 x 1080,144,4,VA,16:9,
MSI,Optix MAG321CURV,31.5,3840 x 2160,60,4,VA,16:9,
VIOTEK,SUW49C,49.0,3840 x 1080,144,4,VA,32:9,749.99
Samsung,G7 LC32T550FDNXZA,31.5,1920 x 1080,75,5,VA,16:9,299.99
Samsung,CR500,27.0,1920 x 1080,60,5,VA,16:9,
Acer,ED242QR Abidpx,23.6,1920 x 1080,144,5,VA,16:9,245.43
Samsung,LC32JG50QQNZA,32.0,2560 x 1440,144,4,VA,16:9,
Dell,U3818DW,38.0,3840 x 1600,60,4,IPS,12:5,954.98
LG,34UC80-B,34.0,3440 x 1440,60,4,IPS,21:9,2299.98
VIOTEK,GN27D,27.0,2560 x 1440,144,3,VA,16:9,
Nixeus,NX-EDG34S,34.0,3440 x 1440,144,4,VA,21:9,549.99
Samsung,CF591,27.0,1920 x 1080,60,5,VA,16:9,223.42
Asus,ROG Strix XG35VQ,35.0,3440 x 1440,100,6,VA,21:9,
ViewSonic,Elite XG350R-C,35.0,3440 x 1440,100,4,VA,21:9,669.99
Samsung,890 LC34H890WGNXGO,34.0,3440 x 1440,100,4,VA,21:9,593.65
Philips,346B1C,34.0,3440 x 1440,100,1,VA,21:9,473.90
Sceptre,C345W-2560UN,34.0,2560 x 1080,100,5,VA,21:9,343.09
Asus,ROG Strix XG27WQ,27.0,2560 x 1440,165,1,VA,16:9,
Acer,Predator Z35P,35.0,3440 x 1440,100,5,VA,21:9,799.99
MSI,Optix MAG322CR,31.5,1920 x 1080,180,4,VA,16:9,309.99
Samsung,C27JG50,27.0,2560 x 1440,144,4,VA,16:9,
Acer,XZ271U bmijpphzx,27.0,2560 x 1440,144,1,VA,16:9,449.00
LG,38CB99-W,38.0,3840 x 1600,75,4,IPS,12:5,3320.08
Samsung,LC24FG70FQNXZA,24.0,1920 x 1080,144,5,VA,16:9,694.92
LG,34CB99-W,34.0,3440 x 1440,60,4,IPS,21:9,699.00
Acer,EI491CR Pbmiiipx,49.0,3840 x 1080,144,4,VA,32:9,999.99
Samsung,LC27JG52QQNXZA,27.0,2560 x 1440,144,1,VA,16:9,
AOC,AG273QCX,27.0,2560 x 1440,144,5,VA,16:9,
Philips,241E1SCA/00,23.6,1920 x 1080,75,5,VA,16:9,
Acer,X38P,37.5,3840 x 1600,175,4,IPS,12:5,
Cooler,Master GM34-CW,34.0,3440 x 1440,144,4,VA,21:9,
Sceptre,C248W-1920R,23.6,1920 x 1080,75,5,VA,16:9,
Samsung,LC27F396FHNXZA,27.0,1920 x 1080,60,4,VA,16:9,
AOC,AGON AG322QCX,31.5,2560 x 1440,144,5,VA,16:9,
AOC,AGON AG273QCG,27.0,2560 x 1440,165,1,TN,16:9,
