brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price
Gigabyte,G27QC,27.0,2560 x 1440,165,4,VA,16:9,284.98
Gigabyte,G27Q,27.0,2560 x 1440,144,1,IPS,16:9,319.99
ViewSonic,VX2768-2KPC-MHD,27.0,2560 x 1440,144,4,VA,16:9,249.99
Gigabyte,G34WQC,34.0,3440 x 1440,144,1,VA,21:9,
VIOTEK,GNV34DBE,34.0,3440 x 1440,144,1,VA,21:9,399.99
LG,34GP83A-B,34.0,3440 x 1440,144,1,IPS,21:9,849.99
AOC,C27G2ZE/BK,27.0,1920 x 1080,240,4,VA,16:9,
Xiaomi,XM700001,34.0,3440 x 1440,144,1,VA,21:9,
AOC,C27G2,27.0,1920 x 1080,165,4,VA,16:9,279.99
AOC,27G2U/BK,27.0,1920 x 1080,144,1,IPS,16:9,375.00
Acer,XZ342CK Pbmiiphx,34.0,3440 x 1440,144,4,VA,21:9,499.99
