brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price
Samsung,Odyssey G9,49.0,5120 x 1440,240,1,VA,32:9,1399.99
LG,27GN950-B,27.0,3840 x 2160,144,1,IPS,16:9,799.99
Samsung,Odyssey G7,27.0,2560 x 1440,240,1,VA,16:9,629.99
Samsung,Odyssey G7 LC32G75TQSNXZA,31.5,2560 x 1440,240,1,VA,16:9,729.99
Dell,S2721DGF,27.0,2560 x 1440,165,1,IPS,16:9,499.99
Alienware,AW2521HF,24.5,1920 x 1080,240,1,IPS,16:9,
Samsung,Odyssey G9 C49G97T,48.8,5120 x 1440,240,1,VA,32:9,1479.99
Gigabyte,G32QC,31.5,2560 x 1440,165,5,VA,16:9,349.99
Dell,S3220DGF,31.5,2560 x 1440,165,1,TN,16:9,449.99
HP,OMEN X 27,27.0,2560 x 1440,240,1,VA,16:9,594.99
Samsung,C27HG70,26.9,2560 x 1440,144,4,IPS,16:9,394.98
LG,38WN95C-W,38.0,3840 x 1600,144,1,VA,12:5,1599.99
Gigabyte,AORUS CV27Q-SA,27.0,2560 x 1440,165,3,VA,16:9,369.99
Acer,EI272UR Pbmiiipx,27.0,2560 x 1440,144,4,VA,16:9,349.00
AOC,Agon AG493UCX,49.0,5120 x 1440,120,4,VA,32:9,999.99
Gigabyte,AORUS CV27F,27.0,1920 x 1080,165,4,VA,16:9,499.99
Asus,ROG Strix XG43VQ,43.4,3840 x 1200,120,4,VA,16:5,749.00
