brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price
Alienware,AW2518H,24.5,1920 x 1080,240,1,TN,16:9,899.00
Asus,PG279Q ROG Swift,27.0,2560 x 1440,165,4,IPS,16:9,755.00
Alienware,AW3420DW,34.1,3440 x 1440,120,2,IPS,21:9,1004.00
Asus,TUF Gaming VG27BQ,27.0,2560 x 1440,165,0.4,TN,16:9,383.98
Acer,Predator X27 Pbmiphzx,27.0,3840 x 2160,144,4,IPS,16:9,2589.92
Dell,S2716DG,27.0,2560 x 1440,144,1,TN,16:9,589.99
ViewSonic,ELITE XG270QG,27.0,2560 x 1440,165,1,IPS,16:9,599.99
Acer,XB271HU bmiprz,27.0,2560 x 1440,165,4,IPS,16:9,570.00
Acer,Predator XB272 bmiprz,27.0,1920 x 1080,240,1,TN,16:9,599.99
LG,38GL950G-B,37.5,3840 x 1600,175,1,IPS,12:5,1674.27
Dell,S2417DG,23.8,2560 x 1440,165,4,TN,16:9,469.88
Acer,Predator X34,34.0,3440 x 1440,120,1,IPS,21:9,836.98
Asus,ROG Swift PG258Q,24.5,1920 x 1080,240,4,TN,16:9,
Acer,Predator X34,34.0,3440 x 1440,100,1,IPS,21:9,1338.37
Acer,Predator XB271HUA,27.0,2560 x 1440,165,1,TN,16:9,
Acer,Predator XB241YU,23.8,2560 x 1440,165,1,TN,16:9,449.99
Asus,ROG SWIFT PG278QR,27.0,2560 x 1440,165,1,TN,16:9,
Dell,S2716DGR,27.0,2560 x 1440,144,4,TN,16:9,589.99
Acer,Predator XB273K Pbmiphzx,27.0,3840 x 2160,144,0.5,IPS,16:9,
Lenovo,Y27gq-25,27.0,2560 x 1440,240,4,TN,16:9,
Dell,AW3418DW,34.1,3440 x 1440,120,5,IPS,21:9,
Asus,ROG SWIFT PG348Q,34.0,3440 x 1440,100,1,IPS,21:9,
Asus,ROG SWIFT PG278Q,27.0,2560 x 1440,144,1,TN,16:9,
Acer,XB241H bmipr,24.0,1920 x 1080,180,1,TN,16:9,384.98
HP,Omen 27,27.0,2560 x 1440,165,1,TN,16:9,675.09
Asus,ROG SWIFT PG248Q,24.0,1920 x 1080,180,4,TN,16:9,
Dell,Alienware AW3418HW,34.1,2560 x 1080,120,1,IPS,21:9,
Asus,ROG SWIFT PG349Q,34.0,3440 x 1440,120,4,IPS,21:9,
LG,34GK950G-B,34.0,3440 x 1440,120,1,IPS,21:9,1199.90
Acer,XB273K Sbmiprzx,27.0,3840 x 2160,144,4,IPS,16:9,1189.89
Asus,ROG Swift PG27VQ,27.0,2560 x 1440,165,5,TN,16:9,
Acer,Predator X34P,34.0,3440 x 1440,120,4,IPS,21:9,
LG,32GK650G-B,32.0,2560 x 1440,165,1,VA,16:9,599.00
Acer,Z35 bmiphz,35.0,2560 x 1080,200,4,VA,21:9,699.99
Acer,Predator XN253Q Xbmiprzx,24.5,1920 x 1080,240,1,TN,16:9,
Asus,ROG SWIFT PG279QZ,27.0,2560 x 1440,165,5,IPS,16:9,
ViewSonic,XG2560,24.5,1920 x 1080,240,4,TN,16:9,399.00
LG,32GK850G-B,31.5,2560 x 1440,165,4,VA,16:9,842.00
Acer,Predator Z35P,35.0,3440 x 1440,100,1,VA,21:9,799.99
Acer,XB321HK BMIPHZ,32.0,3840 x 2160,60,4,IPS,16:9,1184.90
Acer,X38P,37.5,3840 x 1600,175,1,IPS,12:5,
Asus,ROG Swift PG258Q Call of Duty: Black Ops 4 Special Edition,24.5,1920 x 1080,240,1,TN,16:9,
AOC,AG271QG,27.0,2560 x 1440,165,5,IPS,16:9,
Acer,XB240H ABPR,24.0,1920 x 1080,144,4,TN,16:9,
AOC,AGON AG273QCG,27.0,2560 x 1440,165,1,TN,16:9,
LG,34UC89G-B,34.0,2560 x 1080,166,1,IPS,21:9,
Acer,Predator Z1,31.5,2560 x 1440,165,1,VA,16:9,
MSI,Oculux NXG251R,24.5,1920 x 1080,240,1,TN,16:9,
AOC,AG241QG,23.8,2560 x 1440,165,1,TN,16:9,662.00
AOC,G2460PG,24.0,1920 x 1080,144,1,TN,16:9,
MSI,Oculux NXG252R,24.5,1920 x 1080,240,4,TN,16:9,
Acer,XB281HK bmiprz,28.0,3840 x 2160,60,4,TN,16:9,900.00
ViewSonic,XG2703-GS,27.0,2560 x 1440,165,5,IPS,16:9,987.13
ViewSonic,XG2760,27.0,2560 x 1440,165,4,TN,16:9,549.99
Asus,PG27AQ,27.0,3840 x 2160,60,4,IPS,16:9,
AOC,AG352UCG6,35.0,3440 x 1440,120,4,VA,21:9,
LG,34GK950G,34.0,3440 x 1440,120,4,IPS,21:9,
Acer,XB270HU bprz,27.0,2560 x 1440,144,4,IPS,16:9,
HP,OMEN X 35,35.0,3440 x 1440,100,1,VA,21:9,
Acer,Predator Z301C,30.0,2560 x 1080,200,1,VA,21:9,
AOC,AG271UG,27.0,3840 x 2160,60,4,IPS,16:9,
Acer,XB271HK,27.0,3840 x 2160,60,4,IPS,16:9,
BenQ,XL2420G,24.0,1920 x 1080,144,7,TN,16:9,
Acer,XB270H Abprz,27.0,1920 x 1080,144,1,TN,16:9,
Acer,Predator Z301CT,29.5,2560 x 1080,200,5,VA,21:9,
AOC,AG352UCG,35.0,3440 x 1440,100,4,VA,21:9,
Lenovo,Y27g,27.0,1920 x 1080,144,1,VA,16:9,562.23
Acer,XB280HK,28.0,3840 x 2160,60,1,TN,16:9,
Philips,272G5DYEB,27.0,1920 x 1080,144,4,TN,16:9,
Acer,Z271,27.0,1920 x 1080,144,1,VA,16:9,
