brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price
Asus,TUF Gaming VG279QM,27.0,1920 x 1080,280,1,IPS,16:9,399.00
Samsung,Odyssey G9,49.0,5120 x 1440,240,1,VA,32:9,1399.99
LG,27GL850-B,27.0,2560 x 1440,144,1,IPS,16:9,496.99
Asus,TUF Gaming VG27AQ,27.0,2560 x 1440,165,1,IPS,16:9,419.99
Asus,TUF GAMING VG259QM,24.5,1920 x 1080,280,1,IPS,16:9,319.00
Gigabyte,G27QC,27.0,2560 x 1440,165,1,VA,16:9,284.98
Acer,XF250Q Cbmiiprx,24.5,1920 x 1080,240,1,TN,16:9,269.99
LG,27GN950-B,27.0,3840 x 2160,144,1,IPS,16:9,799.99
Asus,VG248QG,24.0,1920 x 1080,165,1,TN,16:9,199.99
Samsung,Odyssey G7,27.0,2560 x 1440,240,1,VA,16:9,629.99
LG,27GL83A-B,27.0,2560 x 1440,144,0.5,IPS,16:9,379.99
Asus,VG278QR,27.0,1920 x 1080,165,1,TN,16:9,249.00
Acer,XV272U Pbmiiprzx,27.0,2560 x 1440,144,1,IPS,16:9,419.00
Samsung,Odyssey G7 LC32G75TQSNXZA,31.5,2560 x 1440,240,1,VA,16:9,729.99
LG,27GN750-B,27.0,1920 x 1080,240,1,IPS,16:9,396.99
Dell,S2721DGF,27.0,2560 x 1440,165,1,IPS,16:9,499.99
Asus,VG278Q,27.0,1920 x 1080,144,1,TN,16:9,244.98
Alienware,AW2521HF,24.5,1920 x 1080,240,1,IPS,16:9,
Asus,ROG Strix XG279Q,27.0,2560 x 1440,170,1,IPS,16:9,597.99
LG,27GL650F-B,27.0,1920 x 1080,144,1,IPS,16:9,298.02
Alienware,AW2720HF,27.0,1920 x 1080,240,1,IPS,16:9,439.99
LG,34GN850-B,34.0,3440 x 1440,160,1,IPS,21:9,999.99
LG,UltraGear 38GN950-B,38.0,3840 x 1600,160,5,IPS,12:5,3015.00
VIOTEK,GFV22CB,22.0,1920 x 1080,144,1,VA,16:9,207.90
Acer,XFA240 bmjdpr,24.0,1920 x 1080,144,1,TN,16:9,199.99
Samsung,Odyssey G9 C49G97T,48.8,5120 x 1440,240,1,VA,32:9,1479.99
AOC,27G2,27.0,1920 x 1080,144,1,IPS,16:9,
AOC,G2590FX,24.5,1920 x 1080,144,1,TN,16:9,214.18
Acer,XF240H,24.0,1920 x 1080,144,1,TN,16:9,199.99
LG,27GK750F-B,27.0,1920 x 1080,240,4,TN,16:9,346.56
BenQ,XL2540,24.5,1920 x 1080,240,0.5,TN,16:9,408.95
VIOTEK,GNV34DBE,34.0,3440 x 1440,144,1,VA,21:9,399.99
Asus,VG258QR,24.5,1920 x 1080,165,0.1,TN,16:9,258.95
Asus,ROG Strix XG248Q,23.8,1920 x 1080,240,1,TN,16:9,
Asus,TUF Gaming VG27AQL1A,27.0,2560 x 1440,170,4,IPS,16:9,474.77
Acer,Nitro VG272 Xbmiipx,27.0,1920 x 1080,240,1,IPS,16:9,
Asus,ROG Swift PG43UQ,43.0,3840 x 2160,144,5,VA,16:9,1507.98
Asus,TUF GAMING VG259Q,24.5,1920 x 1080,144,1,IPS,16:9,308.23
Razer,RAPTOR 27,27.0,2560 x 1440,144,1,IPS,16:9,699.99
Acer,XV273K Pbmiipphzx,27.0,3840 x 2160,144,0.5,IPS,16:9,884.99
Samsung,LC27RG50FQNXZA,27.0,1920 x 1080,240,1,VA,16:9,395.13
MSI,Optix MAG251RX,24.5,1920 x 1080,240,4,IPS,16:9,344.99
LG,34GL750-B,34.0,2560 x 1080,144,1,IPS,21:9,594.90
LG,34GP83A-B,34.0,3440 x 1440,144,1,IPS,21:9,849.99
Asus,ROG Strix XG258Q,24.5,1920 x 1080,240,5,TN,16:9,
Gigabyte,AORUS FI27Q-SA,27.0,2560 x 1440,165,1,IPS,16:9,439.99
Gigabyte,AORUS FI27Q-P,27.0,2560 x 1440,165,5,IPS,16:9,529.99
Alienware,AW5520QF,55.0,3840 x 2160,120,1,OLED,16:9,
ViewSonic,ELITE XG270,27.0,1920 x 1080,240,5,IPS,16:9,429.99
Acer,ED273 Abidpx,27.0,1920 x 1080,144,1,VA,16:9,278.98
Acer,XG270HU,27.0,2560 x 1440,144,1,TN,16:9,369.99
LG,38WN95C-W,38.0,3840 x 1600,144,1,IPS,12:5,1599.99
Lenovo,Legion Y27q-20,27.0,2560 x 1440,165,1,IPS,16:9,459.99
AOC,27G2U/BK,27.0,1920 x 1080,144,1,IPS,16:9,375.00
VIOTEK,GFI27QXA,27.0,3840 x 2160,144,1,IPS,16:9,679.99
Asus,VG258Q,24.5,1920 x 1080,144,1,TN,16:9,
