brand,model,chipset,memory,core_clock,boost_clock,color,length,price
NVIDIA,Founders Edition,GeForce RTX 3080,10,1440,1710,Black,285,
NVIDIA,Founders Edition,GeForce RTX 3070,8,1500,1730,Black,242,
MSI,VENTUS XS OC,GeForce GTX 1660 SUPER,6,1530,1815,Black / Silver,203.962,300.74
EVGA,KO GAMING,GeForce RTX 2060,6,1365,1680,Gray / Black,202.1,697.99
MSI,VENTUS XS OC,GeForce GTX 1660,6,1530,1830,Black / White,204,
MSI,GAMING X,GeForce GTX 1660 Ti,6,1500,1875,Black,247,329.99
MSI,GAMING X,Radeon RX 5700 XT,8,1730,1980,Silver / Black,297,506.94
MSI,GTX 1050 Ti 4GT OC,GeForce GTX 1050 Ti,4,1341,1455,Black / White,215,135.88
Asus,STRIX GAMING,GeForce RTX 3070,8,1500,1755,Black,318.5,
Asus,TUF GAMING,GeForce RTX 3080,10,1440,1740,Black,299.9,726.99
PNY,UPRISING,GeForce RTX 3070,8,1500,1725,Black,264.922,549.94
PNY,XLR8 Gaming REVEL EPIC-X RGB,GeForce RTX 3080,10,1440,1710,Gray / Black,293.878,759.94
Asus,DUAL EVO OC,GeForce RTX 2060,6,1365,1785,Black,242,382.94
MSI,VENTUS XS OC,GeForce GTX 1660 Ti,6,1500,1830,,204,499.99
MSI,ARMOR OC,Radeon RX 580,8,1257,1366,Black / White,269,223.00
Gigabyte,WINDFORCE OC,GeForce GTX 1650 SUPER,4,1530,1755,Black / Silver,225,
MSI,GAMING X,GeForce GTX 1660 SUPER,6,1530,1830,Black,246.888,479.98
PNY,XLR8 Gaming REVEL EPIC-X RGB,GeForce RTX 3070,8,1500,1725,Black / Silver,293.878,549.94
MSI,MECH OC,Radeon RX 5500 XT,8,1647,1845,Black,215,253.37
Asus,TUF GAMING OC,GeForce GTX 1660 SUPER,6,1530,1845,Black,206,
MSI,VENTUS XS OC,GeForce RTX 2060,6,1365,1710,Silver / Black,205,
NVIDIA,Founders Edition,GeForce RTX 2070 SUPER,8,1605,1770,Silver,266.74,1249.00
Gigabyte,WINDFORCE 2X,GeForce RTX 2070,8,1410,1620,Black,264.9,459.99
