brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price
AOC,C24G1,24.0,1920 x 1080,144,1,VA,16:9,
Panasonic,EJMDA32UK,32.0,1920 x 1080,60,6,IPS,16:9,8999.95
MSI,Optix G241,23.8,1920 x 1080,144,1,IPS,16:9,189.99
Acer,SB220Q bi,21.5,1920 x 1080,75,4,IPS,16:9,93.99
Asus,TUF Gaming VG279QM,27.0,1920 x 1080,280,1,IPS,16:9,384.99
Asus,ROG Swift PG65UQ,64.5,3840 x 2160,144,4,VA,16:9,4702.28
Asus,TUF Gaming VG27AQ,27.0,2560 x 1440,165,1,IPS,16:9,419.99
Samsung,Odyssey G9,49.0,5120 x 1440,240,1,VA,32:9,2998.76
MSI,Optix G24C4,23.6,1920 x 1080,144,1,VA,16:9,
Sceptre,C248B-144RN,24.0,1920 x 1080,144,3,VA,16:9,275.89
LG,27GL850-B,27.0,2560 x 1440,144,1,IPS,16:9,446.99
Asus,TUF Gaming VG24VQ,23.6,1920 x 1080,144,,VA,16:9,248.00
Gigabyte,G27QC,27.0,2560 x 1440,165,,VA,16:9,284.98
Eizo,CG318-BK,31.1,4096 x 2160,,9,IPS,256:135,
LG,27GN950-B,27.0,3840 x 2160,144,1,IPS,16:9,809.94
Asus,TUF GAMING VG259QM,24.5,1920 x 1080,280,1,IPS,16:9,319.00
MSI,Optix MAG241C,23.6,1920 x 1080,144,1,VA,16:9,199.99
LG,24MK400H-B,24.0,1920 x 1080,75,1,TN,16:9,109.99
Asus,VG248QG,24.0,1920 x 1080,165,1,TN,16:9,203.91
LG,27GL83A-B,27.0,2560 x 1440,144,1,IPS,16:9,379.99
LG,22MK430H-B,21.5,1920 x 1080,75,5,IPS,16:9,84.99
Acer,XF250Q Cbmiiprx,24.5,1920 x 1080,240,1,TN,16:9,279.94
Dell,S2719DGF,27.0,2560 x 1440,155,1,TN,16:9,359.00
Samsung,Odyssey G7,27.0,2560 x 1440,240,1,VA,16:9,549.99
Asus,ROG Swift PG259QN,24.5,1920 x 1080,360,1,IPS,16:9,1239.99
Asus,VG278QR,27.0,1920 x 1080,165,0.5,TN,16:9,249.00
ViewSonic,XG2405,23.8,1920 x 1080,144,1,IPS,16:9,179.99
Sceptre,E205W-16003R,19.5,1600 x 900,75,5,,16:9,76.97
Asus,VP228HE,21.5,1920 x 1080,60,1,TN,16:9,89.99
Asus,TUF GAMING VG249Q,23.8,1920 x 1080,144,,IPS,16:9,239.00
ViewSonic,VX2758-2KP-MHD,27.0,2560 x 1440,144,3,IPS,16:9,299.99
BenQ,ZOWIE XL2411P,24.0,1920 x 1080,144,1,TN,16:9,191.99
Samsung,Odyssey G7 LC32G75TQSNXZA,31.5,2560 x 1440,240,1,VA,16:9,629.99
Gigabyte,G27Q,27.0,2560 x 1440,144,,IPS,16:9,
Dell,S2721DGF,27.0,2560 x 1440,165,1,IPS,16:9,499.99
AOC,24G2,23.8,1920 x 1080,144,,IPS,16:9,237.99
VIOTEK,GFV22CB,22.0,1920 x 1080,144,5,VA,16:9,129.99
VIOTEK,GFV24C,24.0,1920 x 1080,144,,VA,16:9,
Acer,VG270U Pbmiipx,27.0,2560 x 1440,144,1,IPS,16:9,390.00
Asus,VG278Q,27.0,1920 x 1080,144,1,TN,16:9,244.98
Alienware,AW2521HF,24.5,1920 x 1080,240,1,IPS,16:9,446.95
Dell,UP3218K,31.5,7680 x 4320,60,6,IPS,16:9,3999.99
Asus,VA24EHE,23.8,1920 x 1080,75,,IPS,16:9,109.00
Samsung,C24RG50,23.5,1920 x 1080,144,4,VA,16:9,
AOC,C27G1,27.0,1920 x 1080,144,1,VA,16:9,
LG,27GL650F-B,27.0,1920 x 1080,144,1,IPS,16:9,246.99
Acer,K202HQL,19.5,1600 x 900,60,5,TN,16:9,69.98
Asus,ROG Strix XG27UQ,27.0,3840 x 2160,144,,IPS,16:9,799.99
