brand,model,socket,form_factor,mem_max,mem_slots,color,price
MSI,B450 TOMAHAWK MAX,AM4,ATX,64,4,Black,114.99
Asus,TUF GAMING X570-PLUS,AM4,ATX,128,4,Black / Gold,169.99
Gigabyte,B450M DS3H,AM4,Micro ATX,64,4,Black / Silver,62.99
Asus,ROG STRIX B450-F GAMING,AM4,ATX,64,4,Black,119.99
ASRock,B450M PRO4,AM4,Micro ATX,64,4,Black / Silver,64.99
MSI,MAG B550 TOMAHAWK,AM4,ATX,128,4,Black / Silver,179.99
Asus,ROG STRIX B550-F GAMING,AM4,ATX,128,4,Black,202.89
MSI,B550-A PRO,AM4,ATX,128,4,Black / Silver,139.99
MSI,Z390-A PRO,LGA1151,ATX,128,4,Brown / Black,113.64
Gigabyte,B550M DS3H,AM4,Micro ATX,128,4,Black / Gold,94.99
MSI,B450 Gaming Plus MAX,AM4,ATX,64,4,Red / Black,104.99
Asus,ROG Strix X570-E Gaming,AM4,ATX,128,4,Black,297.99
Asus,ROG STRIX Z490-E GAMING,LGA1200,ATX,128,4,Black,229.99
Asus,PRIME Z390-A,LGA1151,ATX,128,4,Silver / Black,149.99
Asus,PRIME A320M-K,AM4,Micro ATX,32,2,Black / White,55.49
ASRock,B450 Steel Legend,AM4,ATX,64,4,Black / Silver,89.99
MSI,B550M PRO-VDH WIFI,AM4,Micro ATX,128,4,Black,109.99
MSI,MAG X570 TOMAHAWK WIFI,AM4,ATX,128,4,Black,219.99
MSI,MPG B550 GAMING PLUS,AM4,ATX,128,4,Black,149.99
Gigabyte,B450 I AORUS PRO WIFI,AM4,Mini ITX,32,2,Black / Silver,119.99
Asus,ROG STRIX B550-F GAMING,AM4,ATX,128,4,Black,184.98
Gigabyte,X570 AORUS ELITE WIFI,AM4,ATX,128,4,Black,189.99
MSI,MPG Z490 GAMING EDGE WIFI,LGA1200,ATX,128,4,Black / Silver,199.99
Gigabyte,B450 AORUS ELITE,AM4,ATX,64,4,Black / Silver,99.90
Asus,ROG Crosshair VIII Hero,AM4,ATX,128,4,Black,379.99
MSI,B450-A PRO MAX,AM4,ATX,64,4,Brown / Black,102.98
Gigabyte,B365M DS3H,LGA1151,Micro ATX,64,4,Black,73.98
