brand,model,form_factor,eff_rating,wattage,modular,color,price
Corsair,RM (2019),ATX,80+ Gold,750,Full,Black,
Corsair,RM (2019),ATX,80+ Gold,850,Full,Black,134.99
EVGA,BQ,ATX,80+ Bronze,600,Semi,,74.98
EVGA,BQ,ATX,80+ Bronze,500,Semi,,69.94
Cooler Master,MWEGold,ATX,80+ Gold,650,Full,Black,245.99
EVGA,BR,ATX,80+ Bronze,500,No,,49.99
Corsair,RM (2019),ATX,80+ Gold,650,Full,Black,119.97
SeaSonic,S12III,ATX,80+ Bronze,650,No,Black,49.99
Corsair,CXM,ATX,80+ Bronze,650,Semi,,84.99
EVGA,BR,ATX,80+ Bronze,450,No,,52.99
Thermaltake,Smart,ATX,80+,500,No,,47.99
Corsair,RMx (2018),ATX,80+ Gold,850,Full,Black,
Corsair,AXi,ATX,80+ Titanium,1600,Full,,549.99
EVGA,BR,ATX,80+ Bronze,700,No,,74.99
Corsair,CXM,ATX,80+ Bronze,550,Semi,,64.99
Corsair,TXM Gold,ATX,80+ Gold,550,Semi,,99.99
Gigabyte,P GM,ATX,80+ Gold,750,Full,Black,109.99
SeaSonic,S12III,ATX,80+ Bronze,500,No,Black,39.99
Corsair,CV,ATX,80+ Bronze,550,No,Black,37.99
EVGA,B5,ATX,80+ Bronze,650,Full,Black,87.86
Corsair,TXM Gold,ATX,80+ Gold,650,Semi,,89.99
Corsair,CXM (2015),ATX,80+ Bronze,450,Semi,,59.99
EVGA,G3,ATX,80+ Gold,750,Full,,129.99
Corsair,CV,ATX,80+ Bronze,450,No,Black,34.99
EVGA,BR,ATX,80+ Bronze,600,No,,71.49
Corsair,HX Platinum,ATX,80+ Platinum,1000,Full,,337.99
Corsair,RMx White (2018),ATX,80+ Gold,750,Full,White / Black,196.99
EVGA,100-W1-0500-KR,ATX,80+,500,No,,48.11
Corsair,RMx,ATX,80+ Gold,1000,Full,,204.99
Cooler Master,MWEGold,ATX,80+ Gold,750,Full,Black,119.99
