brand,model,speed,modules,price_per_gb,color,first_word_lat,cas_lat,price
Corsair,Vengeance LPX 16 GB,DDR4-3200,2 x 8GB,3.999,Black / Yellow,10,16,63.99
Corsair,Vengeance RGB Pro 16 GB,DDR4-3200,2 x 8GB,4.874,Black,10,16,77.98
Corsair,Vengeance RGB Pro 32 GB,DDR4-3200,2 x 16GB,4.062,Black,10,16,129.99
Team,T-FORCE VULCAN Z 16 GB,DDR4-3200,2 x 8GB,3.437,Black,10,16,54.99
G.Skill,Ripjaws V 16 GB,DDR4-3600,2 x 8GB,4.687,Black,8.889,16,74.99
G.Skill,Trident Z RGB 16 GB,DDR4-3600,2 x 8GB,4.999,Black,10,18,79.99
Corsair,Vengeance LPX 16 GB,DDR4-3600,2 x 8GB,4.061,Black,10,18,64.98
G.Skill,Ripjaws V Series 32 GB,DDR4-3200,2 x 16GB,3.437,Black,10,16,109.99
Corsair,Vengeance RGB Pro 16 GB,DDR4-3200,2 x 8GB,4.874,White,10,16,77.99
G.Skill,Ripjaws V Series 16 GB,DDR4-3200,2 x 8GB,3.874,Black,10,16,61.99
G.Skill,Trident Z Neo 32 GB,DDR4-3600,2 x 16GB,5.156,Black / White,8.889,16,164.99
G.Skill,Ripjaws V 16 GB,DDR4-3600,2 x 8GB,3.874,Black,10,18,61.99
Crucial,Ballistix 16 GB,DDR4-3600,2 x 8GB,4.687,Black,8.889,16,74.99
Corsair,Vengeance RGB Pro 16 GB,DDR4-3600,2 x 8GB,4.999,Black,10,18,79.99
Team,T-FORCE VULCAN Z 16 GB,DDR4-3000,2 x 8GB,,Silver / Black,10.667,16,
G.Skill,Ripjaws V 32 GB,DDR4-3600,2 x 16GB,4.375,Black,8.889,16,139.99
Corsair,Vengeance RGB Pro 32 GB,DDR4-3200,2 x 16GB,4.062,White,10,16,129.99
Corsair,Vengeance LPX 32 GB,DDR4-3200,2 x 16GB,3.437,Black / Yellow,10,16,109.99
G.Skill,Trident Z RGB 16 GB,DDR4-3200,2 x 8GB,4.812,Black,10,16,76.99
Team,T-Force Delta RGB 16 GB,DDR4-3200,2 x 8GB,4.061,Black,10,16,64.98
Crucial,CT64G4LFQ424A 64 GB,DDR4-2400,1 x 64GB,19.965,Black / Green,14.167,17,1277.77
Kingston,HyperX Fury 16 GB,DDR4-3200,2 x 8GB,4.312,Black / Silver,10,16,68.99
