brand,model,capacity,price_per_gb,type,cache,form_factor,interface,price
Seagate,Barracuda Compute,2 TB,$0.027,7200RPM,256,"3.5""",SATA 6 Gb/s,54.48
Samsung,970 Evo,1 TB,$0.130,SSD,1024,M.2-2280,M.2 (M),129.99
Samsung,970 Evo,500 GB,$0.120,SSD,512,M.2-2280,M.2 (M),59.99
Crucial,P1,1 TB,$0.094,SSD,,M.2-2280,M.2 (M),93.99
Western Digital,CaviarBlue,1 TB,$0.040,7200RPM,64,"3.5""",SATA 6 Gb/s,39.99
Samsung,860 Evo,1 TB,$0.100,SSD,1024,"2.5""",SATA 6 Gb/s,99.99
Western Digital,Blue,500 GB,$0.106,SSD,,M.2-2280,M.2 (B+M),52.99
Samsung,970 EVO Plus,2 TB,$0.125,SSD,1024,M.2-2280,M.2 (M),249.99
Kingston,A400,240 GB,$0.108,SSD,,"2.5""",SATA 6 Gb/s,25.99
Samsung,860 Evo,500 GB,$0.108,SSD,512,"2.5""",SATA 6 Gb/s,53.99
Seagate,BarraCuda,1 TB,$0.046,7200RPM,64,"3.5""",SATA 6 Gb/s,45.99
Western Digital,BlueSN550,1 TB,$0.090,SSD,,M.2-2280,M.2 (M),89.99
Crucial,P1,500 GB,$0.118,SSD,,M.2-2280,M.2 (M),58.99
Western Digital,Blue,1 TB,$0.105,SSD,,M.2-2280,M.2 (B+M),104.99
Samsung,970 Evo Plus,1 TB,$0.150,SSD,1024,M.2-2280,M.2 (M),149.99
Samsung,980 Pro,1 TB,$0.230,SSD,1024,M.2-2280,M.2 (M),229.99
Seagate,BarraCuda,4 TB,$0.020,5400RPM,256,"3.5""",SATA 6 Gb/s,79.99
Crucial,P2,500 GB,$0.102,SSD,,M.2-2280,M.2 (M),50.99
Western Digital,BlueSN550,500 GB,$0.100,SSD,,M.2-2280,M.2 (M),49.99
Western Digital,SN750,1 TB,$0.116,SSD,,M.2-2280,M.2 (M),115.99
Western Digital,SN750,500 GB,$0.126,SSD,,M.2-2280,M.2 (M),62.99
Western Digital,Gold,18 TB,$0.031,7200RPM,512,"3.5""",SATA 6 Gb/s,549.99
Samsung,860 Evo,2 TB,$0.100,SSD,2048,"2.5""",SATA 6 Gb/s,199.99
Kingston,A400,120 GB,$0.212,SSD,,"2.5""",SATA 6 Gb/s,25.48
Samsung,970 Evo Plus,500 GB,$0.160,SSD,512,M.2-2280,M.2 (M),79.98
Angelbird,ED381,7.68 TB,$0.833,SSD,,"2.5""",SATA 6 Gb/s,6399.90
Sabrent,Rocket Q,8 TB,$0.175,SSD,,M.2-2280,M.2 (M),1399.99
Team,GX2,512 GB,$0.084,SSD,,"2.5""",SATA 6 Gb/s,42.99
Western Digital,Blue,2 TB,$0.024,5400RPM,256,"3.5""",SATA 6 Gb/s,47.99
Samsung,970 Evo Plus,250 GB,$0.280,SSD,512,M.2-2280,M.2 (M),69.98
ADATA,XPG SX8200 Pro,1 TB,$0.100,SSD,,M.2-2280,M.2 (M),99.99
Intel,665p,1 TB,$0.095,SSD,,M.2-2280,M.2 (M),94.99
Western Digital,Blue,1 TB,$0.105,SSD,,"2.5""",SATA 6 Gb/s,104.99
Team,GX2,1 TB,$0.076,SSD,,"2.5""",SATA 6 Gb/s,75.98
Western Digital,Blue,500 GB,$0.106,SSD,,"2.5""",SATA 6 Gb/s,52.99
Sabrent,Rocket 4.0,1 TB,$0.200,SSD,,M.2-2280,M.2 (M),199.98
Crucial,P2,1 TB,$0.095,SSD,,M.2-2280,M.2 (M),94.99
Kingston,A400,480 GB,$0.094,SSD,,"2.5""",SATA 6 Gb/s,44.99
Corsair,MP600 Force Series Gen4,1 TB,$0.185,SSD,,M.2-2280,M.2 (M),184.99
Intel,SSDPEDMD020T401,2 TB,$1.312,SSD,,PCI-E,PCIe x4,2625.00
Crucial,MX500,500 GB,$0.107,SSD,512,"2.5""",SATA 6 Gb/s,53.68
Western Digital,Black,4 TB,$0.037,7200RPM,256,"3.5""",SATA 6 Gb/s,149.99
Samsung,870 QVO,8 TB,$0.094,SSD,,"2.5""",SATA 6 Gb/s,749.99
Crucial,MX500,1 TB,$0.095,SSD,1024,"2.5""",SATA 6 Gb/s,94.99
Seagate,Barracuda Compute,2 TB,$0.026,7200RPM,256,"3.5""",SATA 6 Gb/s,51.99
Team,MS30,512 GB,$0.086,SSD,,M.2-2280,M.2 (B+M),43.99
Kingston,A2000,1 TB,$0.108,SSD,,M.2-2280,M.2 (M),107.99
Samsung,860 Evo,250 GB,$0.200,SSD,512,"2.5""",SATA 6 Gb/s,49.99
Corsair,MP600 Force Series Gen4,2 TB,$0.180,SSD,,M.2-2280,M.2 (M),359.99
Kingston,A2000,500 GB,$0.129,SSD,,M.2-2280,M.2 (M),64.48
Western Digital,Blue,2 TB,$0.090,SSD,,M.2-2280,M.2 (B+M),179.99
Western Digital,Blue,250 GB,$0.180,SSD,,M.2-2280,M.2 (B+M),44.99
Team,MS30,256 GB,$0.117,SSD,,M.2-2280,M.2 (B+M),29.99
Samsung,860 Evo,4 TB,$0.137,SSD,4096,"2.5""",SATA 6 Gb/s,549.99
Samsung,980 Pro,500 GB,$0.240,SSD,512,M.2-2280,M.2 (M),119.99
Kingston,A2000,250 GB,$0.140,SSD,,M.2-2280,M.2 (M),34.99
Seagate,IronWolf Pro,16 TB,$0.031,7200RPM,256,"3.5""",SATA 6 Gb/s,499.99
Seagate,IronWolf Pro,4 TB,$0.034,7200RPM,128,"3.5""",SATA 6 Gb/s,135.99
ADATA,XPG SX8200 Pro,512 GB,$0.123,SSD,,M.2-2280,M.2 (M),62.99
Sabrent,Rocket 4.0,2 TB,$0.200,SSD,,M.2-2280,M.2 (M),399.97
Corsair,MP600 Force Series Gen4,500 GB,,SSD,,M.2-2280,M.2 (M),
Seagate,Barracuda Compute,4 TB,$0.020,5400RPM,256,"3.5""",SATA 6 Gb/s,79.98
Intel,660p Series,1.02 TB,$0.108,SSD,,M.2-2280,M.2 (M),109.99
Sabrent,Rocket Q,1 TB,$0.110,SSD,,M.2-2280,M.2 (M),109.98
Crucial,MX500,250 GB,$0.140,SSD,256,"2.5""",SATA 6 Gb/s,34.99
TCSunBow,X3,60 GB,$0.333,SSD,,"2.5""",SATA 6 Gb/s,19.98
ADATA,SU635,240 GB,$0.112,SSD,,"2.5""",SATA 6 Gb/s,26.99
ADATA,XPG SX8200 Pro,2 TB,$0.100,SSD,,M.2-2280,M.2 (M),199.99
Seagate,Barracuda,500 GB,$0.140,7200RPM,16,"3.5""",SATA 6 Gb/s,69.99
Western Digital,Green,240 GB,$0.160,SSD,,M.2-2280,M.2 (B+M),38.35
Silicon Power,AceA55,256 GB,$0.109,SSD,,"2.5""",SATA 6 Gb/s,27.99
Seagate,Barracuda Compute,8 TB,$0.017,5400RPM,256,"3.5""",SATA 6 Gb/s,134.99
Samsung,870 QVO,2 TB,$0.100,SSD,,"2.5""",SATA 6 Gb/s,199.99
Gigabyte,AORUS NVMe Gen4,1 TB,$0.200,SSD,,M.2-2280,M.2 (M),199.99
Samsung,960 Pro,2 TB,$1.000,SSD,2048,M.2-2280,M.2 (M),1999.99
Silicon Power,A60,1 TB,$0.088,SSD,,M.2-2280,M.2 (M),87.99
Team,MS30,1 TB,$0.088,SSD,,M.2-2280,M.2 (B+M),87.99
Crucial,MX500,2 TB,$0.095,SSD,2048,"2.5""",SATA 6 Gb/s,189.99
Seagate,Barracuda,3 TB,$0.058,7200RPM,64,"3.5""",SATA 6 Gb/s,175.00
Intel,660p Series,2.048 TB,$0.098,SSD,,M.2-2280,M.2 (M),199.99
Silicon Power,A60,512 GB,$0.107,SSD,,M.2-2280,M.2 (M),54.99
Seagate,Barracuda,1 TB,$0.075,7200RPM,64,"3.5""",SATA 6 Gb/s,74.98
Western Digital,Blue,4 TB,$0.020,5400RPM,64,"3.5""",SATA 6 Gb/s,79.98
Western Digital,BLACKSERIES,2 TB,$0.048,7200RPM,64,"3.5""",SATA 6 Gb/s,96.99
Crucial,BX500,240 GB,$0.133,SSD,,"2.5""",SATA 6 Gb/s,31.83
Crucial,MX500,500 GB,$0.112,SSD,,M.2-2280,M.2 (B+M),55.99
Kingston,A400,960 GB,$0.104,SSD,,"2.5""",SATA 6 Gb/s,99.99
PNY,CS900,240 GB,$0.112,SSD,,"2.5""",SATA 6 Gb/s,26.99
Seagate,FireCuda,1 TB,$0.054,Hybrid,,"2.5""",SATA 6 Gb/s,53.98
Seagate,Barracuda,2 TB,$0.072,7200RPM,64,"3.5""",SATA 6 Gb/s,145.00
Samsung,980 Pro,250 GB,$0.320,SSD,512,M.2-2280,M.2 (M),79.98
Western Digital,BlueSN550,250 GB,$0.180,SSD,,M.2-2280,M.2 (M),44.99
Samsung,870 QVO,1 TB,$0.110,SSD,,"2.5""",SATA 6 Gb/s,109.99
Samsung,850 EVO-Series,250 GB,$0.432,SSD,,"2.5""",SATA 6 Gb/s,107.99
Team,MP33,256 GB,$0.141,SSD,,M.2-2280,M.2 (M),35.99
Team,MP33,512 GB,$0.106,SSD,,M.2-2280,M.2 (M),54.49
Intel,660p Series,512 GB,$0.119,SSD,,M.2-2280,M.2 (M),60.99
Silicon Power,A60,256 GB,$0.148,SSD,,M.2-2280,M.2 (M),37.99
Seagate,FireCuda 520,2 TB,$0.180,SSD,,M.2-2280,M.2 (M),359.99
SanDisk,SSD PLUS,1 TB,$0.090,SSD,,"2.5""",SATA 6 Gb/s,89.99
